Course Name,Double Period,HS Category,MS Category,Max,Min,Number of Instances,Required Grades,Room Type
6th Grade Art,,,C,22.0,10.0,,,Art
7th-8th Grade Art,,,C,22.0,10.0,,,Art
8th Grade Science,,,I,22.0,10.0,,8.0,Science
Adaptive PE,,VII,E,22.0,10.0,,,Gym
Advanced Algebra and Trigonometry,,IIC,,22.0,10.0,2.0,,
Advanced Algebra and Trigonometry V2,,IIC,,22.0,10.0,2.0,,
Advanced Spanish,,IIB,,22.0,10.0,,,
Advanced/In-Depth French,,IIB,,22.0,10.0,,,
African Studies,1.0,IIA & V,,22.0,10.0,,9.0,
African Studies II,0.0,IIA & V,,22.0,10.0,,9.0,
Algebra A,,,K,22.0,10.0,2.0,,
Algebra A V2,,,K,22.0,10.0,2.0,,
Algebra B,,,K,22.0,10.0,2.0,,
Algebra B V2,,,K,22.0,10.0,2.0,,
American Studies/Global Perspective,1.0,IIA & V,,22.0,10.0,,,
American Studies/Global Perspective II,0.0,IIA & V,,22.0,10.0,,,
Animal Bio,,VI,,22.0,10.0,,,
Asia Studies,,V,,22.0,10.0,,,
Beginning Algebra and Geometry,,IIC,K,22.0,10.0,3.0,,
Beginning Algebra and Geometry V2,,IIC,K,22.0,10.0,3.0,,
Beginning Algebra and Geometry V3,,IIC,K,22.0,10.0,3.0,,
Chemistry,,VI,,22.0,10.0,,,Science
Civil Rights Literature,,IIA,,22.0,10.0,,,
Community Service Class,,IB & V,,22.0,10.0,,,
Computer Literacy,,,G,22.0,10.0,,,
Computer Science,,IIC,,22.0,10.0,,,
Drawing and Painting,,IV,,22.0,10.0,,,Art
Empty,,,,22.0,10.0,,,
English Seminar,,IIA,,22.0,10.0,,,
Evolutionary Biology,,VI,,22.0,10.0,,,
Experimenting in Sci,,,I,22.0,10.0,,,
Facing History,1.0,IIA & V,,22.0,10.0,,,
Facing History II,0.0,IIA & V,,22.0,10.0,,,
Fantasy and Folklore,,,G,22.0,10.0,,,
Fiber Tech,,,C,22.0,10.0,,,
French A,,,F,22.0,10.0,,,
French B,,,F,22.0,10.0,,,
Geology,,VI,,22.0,10.0,,,
Global Research,,V,,22.0,10.0,,,
HS English TBA,,IIA,,22.0,10.0,,,
HS Health,,VII,,22.0,10.0,,,
HS PE,,VII,,22.0,10.0,3.0,,Gym
HS PE V2,,VII,,22.0,10.0,3.0,,Gym
HS PE V3,,VII,,22.0,10.0,3.0,,Gym
I Know Some Things,,IIA,,22.0,10.0,,,
In-Depth French,,IIB,,22.0,10.0,,,
In-Depth Spanish,,IIB,,22.0,10.0,,,
Inquiry and Tools,1.0,,I & K,22.0,10.0,2.0,6.0,
Inquiry and Tools II,0.0,,I & K,22.0,10.0,2.0,6.0,
Inquiry and Tools V2,1.0,,I & K,22.0,10.0,2.0,6.0,
Inquiry and Tools V2 II,0.0,,I & K,22.0,10.0,2.0,6.0,
Intermediate Algebra and Geometry,,IIC,,22.0,10.0,2.0,,
Intermediate Algebra and Geometry V2,,IIC,,22.0,10.0,2.0,,
Intermediate French,,IIB,F,22.0,10.0,,,
Intermediate Spanish,,IIB,F,22.0,10.0,2.0,,
Intermediate Spanish V2,,IIB,F,22.0,10.0,2.0,,
Intro to Physics and Chemistry,,VI,,22.0,10.0,,,Science
Latin American Literature,,IIA,,22.0,10.0,,,
MS English and Social Studies TBA,1.0,,G & H,22.0,10.0,,,
MS English and Social Studies TBA II,0.0,,G & H,22.0,10.0,,,
MS Health,,,J,22.0,10.0,,,
MS PE ,,,E,22.0,10.0,,,Gym
MS Science,,,I,22.0,10.0,2.0,,
MS Science V2,,,I,22.0,10.0,2.0,,
MS/HS PE,,VII,E,22.0,10.0,3.0,,Gym
MS/HS PE V2,,VII,E,22.0,10.0,3.0,,Gym
MS/HS PE V3,,VII,E,22.0,10.0,3.0,,Gym
Music Design,,IV,D,22.0,10.0,,,Music
"Music, Myth, and Ritual",,,D,22.0,10.0,,,Music
Musicals and History,,,H,22.0,10.0,,,
Mythology,,,G,22.0,10.0,,,
Neuro Science Psych,,VI,,22.0,10.0,,,
Other,,Z,Z,22.0,10.0,6.0,,
Other V2,,Z,Z,22.0,10.0,6.0,,
Other V3,,Z,Z,22.0,10.0,6.0,,
Other V4,,Z,Z,22.0,10.0,6.0,,
Other V5,,Z,Z,22.0,10.0,6.0,,
Other V6,,Z,Z,22.0,10.0,6.0,,
People and Literature,1.0,,G & H,22.0,10.0,2.0,6.0,
People and Literature II,0.0,,G & H,22.0,10.0,2.0,6.0,
People and Literature V2,1.0,,G & H,22.0,10.0,2.0,6.0,
People and Literature V2 II,0.0,,G & H,22.0,10.0,2.0,6.0,
Physics,,VI,,22.0,10.0,,,Science
Portfolio Art,,IV,,22.0,10.0,,,Art
Portfolio Photo,,IV,,22.0,10.0,,,Art
Pre-Calculus,,IIC,,22.0,10.0,,,
Probability and Statistics,,IIC,,22.0,10.0,,,
Researchers,,,M,22.0,10.0,,,
Roots Music,,,D,22.0,10.0,,,
Social Studies (BE),,,H,22.0,10.0,,,
Spanish A,,,F,22.0,10.0,2.0,,
Spanish A V2,,,F,22.0,10.0,2.0,,
Spanish B,,,F,22.0,10.0,2.0,,
Spanish B V2,,,F,22.0,10.0,2.0,,
Street Band,,IV,D,22.0,10.0,,,
Studio Art,,IV,,22.0,10.0,,,Art
The Renaissance,,V,,22.0,10.0,,,
US History and Lit: The 20th Century,1.0,IIA & V,,22.0,10.0,,,
US History and Lit: The 20th Century II,0.0,IIA & V,,22.0,10.0,,,
Utopia/Dystopia,,IIA,,22.0,10.0,,,
Video Production,,IV,,22.0,10.0,,,
